,s,TimeStep,Dry_Bulb_Temperature,cool_load,dt,heat_load,tg,period_weight
0,1,1,13.61,0.0,1,0.4762835509204961,15.164468482687935,11
1,1,2,12.93,0.0,1,0.91050514135585,15.168439503941432,11
2,1,3,12.48,0.0,1,1.2571447709983277,15.172363138418522,11
3,1,4,11.960000000000003,0.0,1,1.586690658555137,15.17608432600156,11
4,1,5,12.02,0.0,1,1.7540509746794564,15.180143151327924,11
5,1,6,11.659999999999998,0.0,1,1.983003281981082,15.185277888436252,11
6,1,7,12.349999999999998,0.0,1,1.9423162061941583,15.19135740479917,11
7,1,8,14.150000000000002,0.0,1,1.5640112607631709,15.198215431223282,11
8,1,9,17.5,0.0,1,0.7126654035656149,15.206051254484963,11
9,1,10,20.88,0.0,1,0.0,15.214954471983932,11
10,1,11,23.31,0.0,1,0.0,15.22571795680088,11
11,1,12,25.23,-0.1044756464178987,1,0.0,15.237296711996184,11
12,1,13,26.699999999999996,-0.902497998277381,1,0.0,15.248813711103326,11
13,1,14,27.66,-1.5128590893077865,1,0.0,15.25914627185821,11
14,1,15,27.99,-1.9010956733436863,1,0.0,15.268600601119616,11
15,1,16,27.65,-2.0550314419892866,1,0.0,15.277069086467826,11
16,1,17,26.61,-1.9779034327085385,1,0.0,15.284675913291894,11
17,1,18,24.83,-1.6588736325599156,1,0.0,15.291545220679884,11
18,1,19,22.84,-1.2137990926300646,1,0.0,15.297785970142929,11
19,1,20,20.72,-0.6699805349382901,1,0.0,15.303300014960962,11
20,1,21,18.66,-0.08066841961619134,1,0.0,15.30801102433457,11
21,1,22,17.09,0.0,1,0.0,15.312576491221158,11
22,1,23,16.04,0.0,1,0.0,15.317427127092666,11
23,1,24,15.42,0.0,1,0.0,15.32277254430912,11
24,2,1,16.1,0.0,1,0.0,16.229726256017127,10
25,2,2,15.45,0.0,1,0.1343722146699399,16.23641802069902,10
26,2,3,15.13,0.0,1,0.4076781144545173,16.24357831368863,10
27,2,4,15.099999999999998,0.0,1,0.583040434321516,16.250975905480747,10
28,2,5,15.25,0.0,1,0.6833259128632967,16.25847094167202,10
29,2,6,15.340000000000002,0.0,1,0.7662311166151767,16.265832552786296,10
30,2,7,15.43,0.0,1,0.824542052588002,16.272797207032024,10
31,2,8,15.62,0.0,1,0.8324481105800567,16.279673306066417,10
32,2,9,15.900000000000002,0.0,1,0.7971953770140204,16.286663570427596,10
33,2,10,16.57,0.0,1,0.6474987971973777,16.294039709207766,10
34,2,11,17.53,0.0,1,0.3856651816667394,16.301561012273297,10
35,2,12,18.13,0.0,1,0.1897838007242303,16.308988076947497,10
36,2,13,18.729999999999997,0.0,1,0.0,16.316545391231642,10
37,2,14,19.38,0.0,1,0.0,16.32410024064896,10
38,2,15,18.88,0.0,1,0.0,16.33144643889328,10
39,2,16,18.76,0.0,1,0.0,16.338538620274225,10
40,2,17,18.21,0.0,1,0.0,16.345929918401264,10
41,2,18,17.8,0.0,1,0.0,16.353477293169128,10
42,2,19,16.91,0.0,1,0.23392312625590206,16.36026837956565,10
43,2,20,16.1,0.0,1,0.4866422288585492,16.366257238300097,10
44,2,21,15.44,0.0,1,0.7195554287334317,16.370926640777707,10
45,2,22,15.05,0.0,1,0.8941375780435602,16.374530347055135,10
46,2,23,14.840000000000002,0.0,1,1.0218698878883503,16.37775185399316,10
47,2,24,14.77,0.0,1,1.1074830654517591,16.37991048978641,10
48,3,1,12.289999999999997,0.0,1,1.6913613213089296,17.036021414849216,19
49,3,2,12.289999999999997,0.0,1,1.8264353606187231,17.027870947699817,19
50,3,3,12.039999999999997,0.0,1,1.9939231338701573,17.018659803133843,19
51,3,4,11.719999999999999,0.0,1,2.164259529908344,17.009031050773896,19
52,3,5,11.55,0.0,1,2.2902347956337565,16.999264559805813,19
53,3,6,11.12,0.0,1,2.466053365511963,16.989413615226567,19
54,3,7,10.45,0.0,1,2.6971390065399268,16.979914186702104,19
55,3,8,12.099999999999998,0.0,1,2.3699678492980323,16.970815343166137,19
56,3,9,15.469999999999999,0.0,1,1.4805451491096864,16.96276192340795,19
57,3,10,17.47,0.0,1,0.82058552408895,16.95524990148658,19
58,3,11,19.299999999999997,0.0,1,0.17760775014345,16.94821512735431,19
59,3,12,21.04,0.0,1,0.0,16.94139163618216,19
60,3,13,22.55,0.0,1,0.0,16.935043641430216,19
61,3,14,23.630000000000003,0.0,1,0.0,16.929069155671755,19
62,3,15,24.1,-0.17755124407576844,1,0.0,16.922516524043203,19
63,3,16,23.97,-0.4226528442031501,1,0.0,16.914679049404093,19
64,3,17,23.250000000000004,-0.4579085523518698,1,0.0,16.905850212822017,19
65,3,18,22.19,-0.34880326873775847,1,0.0,16.89706590064775,19
66,3,19,20.31,0.0,1,0.0,16.88778186954577,19
